author,precision,recall,falsePositiveRate,truePositiveRate,numberOfPosts,areaUnderROC,threshold
Qbab,0.9665104909350173,0.9665104909350173,0.9536486811836038,0.9665104909350173,1880,0.5064284330184586,0.5
Kajman,0.9716439193318395,0.9716439193318395,0.9620784489028688,0.9716439193318395,1604,0.5047872229052666,0.5
Dzik,0.92544306376044,0.92544306376044,0.5486679404693205,0.9254430637604399,5238,0.6881481657854316,0.5
AndrzejKo,0.990914646567529,0.990914646567529,0.9929595296132597,0.990914646567529,417,0.4989742327260791,0.5
admin,0.9822367080871868,0.9822367080871868,0.9790811975551761,0.9822367080871868,981,0.5015681841101008,0.5
Rockdude,0.98313302098187,0.98313302098187,0.9552938888460719,0.98313302098187,881,0.5139468598546875,0.5
MarcinS,0.9793848034222856,0.9793848034222856,0.9704115054843327,0.9793848034222856,1126,0.5044945018253166,0.5
dr know,0.8721124465267875,0.8721124465267875,0.8178874743614891,0.8721124465267875,7781,0.5271050295380592,0.5
Szalony,0.9126909757588103,0.9126909757588103,0.6333241422484416,0.9126909757588103,6468,0.6395069158939716,0.5
slawoj,0.9759217763291913,0.9759217763291913,0.9745080664654407,0.9759217763291913,1346,0.5006940579086921,0.5
płona,0.9910776125483806,0.9910776125483806,0.9925485909056694,0.9910776125483806,476,0.49926114440522124,0.5
astrodog,0.9861071501324099,0.9861071501324099,0.9874573145763772,0.9861071501324099,784,0.49931922267607376,0.5
darekt,0.9903035241393359,0.9903035241393359,0.9714481981405081,0.990303524139336,517,0.5094146891810025,0.5
Starosta,0.9120798533306173,0.9120798533306173,0.8921259246937098,0.9120798533306173,5305,0.5100150681162833,0.5
wn,0.990588714605826,0.990588714605826,0.9924289259397675,0.990588714605826,410,0.49907631676177183,0.5
Mnietek,0.9878590344265634,0.9878590344265634,0.9892902820460123,0.9878590344265634,666,0.4992793015402356,0.5
Jacooś,0.9830922794866571,0.9830922794866571,0.8335150179425342,0.9830922794866572,995,0.5747117162638686,0.5
trz,0.9809329802403748,0.9809329802403748,0.9108375390964103,0.9809329802403748,1042,0.5350065109361484,0.5
gilu,0.980892238745162,0.980892238745162,0.9714710447348693,0.980892238745162,990,0.5046968964266954,0.5
maleki,0.9885108983499694,0.9885108983499694,0.9903522101255522,0.9885108983499694,650,0.49907437880533156,0.5
Szczepan,0.9719291097983296,0.9719291097983296,0.804855979229287,0.9719291097983296,1659,0.5834730857533815,0.5
niesia,0.9882257078834793,0.9882257078834793,0.9857865145261056,0.9882257078834793,660,0.5012128458172602,0.5
laura palmer,0.9703809329802404,0.9703809329802404,0.9658833419506657,0.9703809329802403,1710,0.502278358111573,0.5
norweg,0.9899775921776329,0.9899775921776329,0.9915724012511312,0.9899775921776329,467,0.49919878379488863,0.5
mazeno,0.9658993685068242,0.9658993685068242,0.9385304807416248,0.9658993685068241,1863,0.5136528971588513,0.5
nat,0.9691586881238542,0.9691586881238542,0.9525176882759119,0.9691586881238541,1678,0.5083456127756578,0.5
makar,0.9854552862090039,0.9854552862090039,0.8730509574906086,0.9854552862090039,926,0.5561727644993135,0.5
AM,0.9809329802403748,0.9809329802403748,0.9570182157234531,0.9809329802403749,1020,0.511937571765299,0.5
vudoo,0.9832552454675086,0.9832552454675086,0.9796674729917707,0.9832552454675086,958,0.501830589079452,0.5
jusza,0.9449582399674068,0.9449582399674068,0.9390947926067014,0.9449582399674068,3142,0.5028986675263271,0.5
McAron,0.9867997555510287,0.9867997555510287,0.988478710855936,0.9867997555510287,760,0.4991550572912373,0.5
darkman,0.9817070686494195,0.9817070686494195,0.9809080856792737,0.9817070686494194,1085,0.5003895769224939,0.5
KLAUDIA SZLIFIER,0.9928294968425341,0.9928294968425341,0.9872321664894452,0.9928294968425341,380,0.5028180766726319,0.5
Mammoth,0.9733958036259931,0.9733958036259931,0.8752896205550758,0.9733958036259931,1507,0.5489840086900909,0.5
...,0.9988184966388266,0.9988184966388266,0.799837058922263,0.9988184966388266,12,0.5994009779951099,0.5
Grześ,0.9901405581584845,0.9901405581584845,0.9867981073022772,0.9901405581584843,505,0.5016646941242969,0.5
martahr,0.9886331228356081,0.9886331228356081,0.990063984064729,0.9886331228356081,559,0.4992798650261306,0.5
bieDruń,0.9759217763291913,0.9759217763291913,0.9762141440241855,0.9759217763291913,1383,0.4998647272558957,0.5
władekv,0.9928294968425341,0.9928294968425341,0.6265540033468145,0.9928294968425341,423,0.6829605298209728,0.5
Konio,0.9824811570584641,0.9824811570584641,0.971646077534872,0.9824811570584641,875,0.5054033519322619,0.5
Manu,0.9922591159095538,0.9922591159095538,0.9806416850907324,0.9922591159095538,403,0.5058259206121474,0.5
Kemot,0.9921776329191281,0.9921776329191281,0.9934837666610848,0.9921776329191281,400,0.49934385892966987,0.5
