author,precision,recall,falsePositiveRate,truePositiveRate,numberOfPosts,areaUnderROC,threshold
Qbab,0.9683974750559967,0.9683974750559967,0.9584270817861954,0.9683974750559967,1880,0.5049851966349007,0.5
Kajman,0.9714518428018734,0.9714518428018734,0.9699531382469213,0.9714518428018734,1604,0.500749352277476,0.5
Dzik,0.9274689472612503,0.9274689472612503,0.5590423527305363,0.9274689472612502,5238,0.684213297265357,0.5
AndrzejKo,0.9920586438607208,0.9920586438607208,0.9935752237680865,0.9920586438607208,417,0.4992417100463172,0.5
admin,0.9821624923640806,0.9821624923640806,0.9844791266254466,0.9821624923640806,981,0.498841682869317,0.5
Rockdude,0.9844430869476685,0.9844430869476685,0.9716817096681007,0.9844430869476685,881,0.5063806886397839,0.5
MarcinS,0.9797597230706577,0.9797597230706577,0.9728992769341986,0.9797597230706577,1126,0.5034302230682296,0.5
dr know,0.8715536550600692,0.8715536550600692,0.816546279183128,0.8715536550600693,7781,0.5275036879384705,0.5
Szalony,0.9110568112400733,0.9110568112400733,0.652447411543062,0.9110568112400733,6468,0.6293046998485057,0.5
slawoj,0.9772755039706781,0.9772755039706781,0.9760031822824362,0.977275503970678,1346,0.5006361608441209,0.5
płona,0.9899002239869681,0.9899002239869681,0.9915431368715123,0.9899002239869681,476,0.49917854355772784,0.5
astrodog,0.9860720830788027,0.9860720830788027,0.9810431282476985,0.9860720830788027,784,0.502514477415552,0.5
darekt,0.99034819792303,0.99034819792303,0.9819665278256625,0.9903481979230299,517,0.5041908350486838,0.5
Starosta,0.911708409692527,0.911708409692527,0.8909000305299298,0.911708409692527,5305,0.5104041895812985,0.5
wn,0.992302993280391,0.992302993280391,0.9938192003041175,0.992302993280391,410,0.4992418964881367,0.5
Mnietek,0.9872938301771533,0.9872938301771533,0.9888588398555026,0.9872938301771533,666,0.49921749516082536,0.5
Jacooś,0.9825697413968641,0.9825697413968641,0.8499174538720639,0.9825697413968641,995,0.5663261437624002,0.5
trz,0.9812665444919568,0.9812665444919568,0.899253638893435,0.9812665444919568,1042,0.5410064527992609,0.5
gilu,0.9811443697821217,0.9811443697821217,0.9739663938916627,0.9811443697821218,990,0.5035889879452297,0.5
maleki,0.988515577275504,0.988515577275504,0.9897499927797627,0.988515577275504,650,0.49938279224787063,0.5
Szczepan,0.9735288128690694,0.9735288128690694,0.8184136309177292,0.9735288128690694,1659,0.57755759097567,0.5
niesia,0.9887192017918958,0.9887192017918958,0.9819765585846602,0.9887192017918957,660,0.5033713216036179,0.5
laura palmer,0.969578497251069,0.969578497251069,0.9624899361103476,0.969578497251069,1710,0.5035442805703608,0.5
norweg,0.9907147220525351,0.9907147220525351,0.9921923725881834,0.9907147220525351,467,0.49926117473217585,0.5
mazeno,0.9657096314396253,0.9657096314396253,0.9333580161960361,0.9657096314396253,1863,0.5161758076217947,0.5
nat,0.9700264711871309,0.9700264711871309,0.942218306582376,0.9700264711871309,1678,0.5139040823023774,0.5
makar,0.9847688861738954,0.9847688861738954,0.8920005503335768,0.9847688861738954,926,0.5463841679201592,0.5
AM,0.9806963958460598,0.9806963958460598,0.9595538518512975,0.9806963958460598,1020,0.5105712719973812,0.5
vudoo,0.982895540623091,0.982895540623091,0.9765471904109219,0.982895540623091,958,0.5031741751060845,0.5
jusza,0.9455100794135614,0.9455100794135614,0.943680077897915,0.9455100794135614,3142,0.5009150007578231,0.5
McAron,0.9853390348197923,0.9853390348197923,0.9867010952457458,0.9853390348197923,760,0.4993189697870233,0.5
darkman,0.9802891468132763,0.9802891468132763,0.9795918278662009,0.9802891468132763,1085,0.5003486594735376,0.5
KLAUDIA SZLIFIER,0.9937690897984117,0.9937690897984117,0.9720244973315493,0.9937690897984117,380,0.5108722962334312,0.5
Mammoth,0.9726328649969457,0.9726328649969457,0.8708499080358939,0.9726328649969457,1507,0.550891478480526,0.5
...,0.998737527998371,0.998737527998371,0.9997965911348272,0.998737527998371,12,0.4994704684317719,0.5
Grześ,0.9905110975361433,0.9905110975361433,0.9870538087158985,0.9905110975361433,505,0.5017286444101223,0.5
martahr,0.9899409488902464,0.9899409488902464,0.9912556571893425,0.9899409488902464,559,0.4993426458504519,0.5
bieDruń,0.9760130319690491,0.9760130319690491,0.9761287659989034,0.9760130319690491,1383,0.4999421329850729,0.5
władekv,0.9931989411525147,0.9931989411525147,0.656232221531941,0.9931989411525147,423,0.6684833598102867,0.5
Konio,0.9828548157198127,0.9828548157198127,0.9689408940886757,0.9828548157198126,875,0.5069569608155684,0.5
Manu,0.9920993687639992,0.9920993687639992,0.9934930969869957,0.9920993687639992,403,0.4993031358885017,0.5
Kemot,0.9925473427000611,0.9925473427000611,0.9937358185821971,0.9925473427000611,400,0.499405762058932,0.5
